"Main","Middle","Sub","Address","Central","Unfiltered","Description","DatapointType","Security"
 , ,"Slaapkamer 1","4/4/2","","","","DPST-9-1","Auto"
 , ,"Slaapkamer 2","4/4/3","","","","DPST-9-1","Auto"
 , ,"Slaapkamer 3","4/4/4","","","","DPST-9-1","Auto"
 , ,"Bureau","4/4/5","","","","DPST-9-1","Auto"
 ,"Melding verwarming", ,"4/5/-","","","","","Auto"
 , ,"Living","4/5/0","","","","DPST-1-1","Auto"
 , ,"Badkamer","4/5/1","","","","DPST-1-1","Auto"
 , ,"Slaapkamer 1","4/5/2","","","","DPST-1-1","Auto"
 , ,"Slaapkamer 2","4/5/3","","","","DPST-1-1","Auto"
 , ,"Slaapkamer 3","4/5/4","","","","DPST-1-1","Auto"
 , ,"Bureau","4/5/5","","","","DPST-1-1","Auto"
 ,"Melding regime", ,"4/7/-","","","","","Auto"
 , ,"Living","4/7/0","","","","DPT-5","Auto"
 , ,"Badkamer","4/7/1","","","","DPT-5","Auto"
 , ,"Slaapkamer 1","4/7/2","","","","DPT-5","Auto"
 , ,"Slaapkamer 2","4/7/3","","","","DPT-5","Auto"
 , ,"Slaapkamer 3","4/7/4","","","","DPT-5","Auto"
 , ,"Bureau","4/7/5","","","","DPT-5","Auto"
"Alarmen", , ,"14/-/-","","","","","Auto"
 ,"Raamkontakten", ,"14/0/-","","","","","Auto"
 , ,"Achterdeur","14/0/0","","","","DPST-1-9","Auto"
 , ,"Voordeur","14/0/1","","","","DPST-1-9","Auto"
 , ,"Raam slaapkamer 1 - 1","14/0/2","","","","DPST-1-9","Auto"
 , ,"Raam slaapkamer 1 - 2","14/0/3","","","","DPST-1-9","Auto"
 , ,"Raam slaapkamer 1 - 3","14/0/4","","","","DPST-1-9","Auto"
 , ,"Raam slaapkamer 2 - ZGL","14/0/5","","","","DPST-1-9","Auto"
 , ,"Raam slaapkamer 2 - 1","14/0/6","","","","DPST-1-9","Auto"
 , ,"Raam slaapkamer 2 - 2","14/0/7","","","","DPST-1-9","Auto"
 , ,"Raam slaapkamer 3 - ZGR","14/0/8","","","","DPST-1-9","Auto"
 , ,"Raam slaapkamer 3 - 1","14/0/9","","","","DPST-1-9","Auto"
 , ,"Raam slaapkamer 3 - 2","14/0/10","","","","DPST-1-9","Auto"
 , ,"Raam badkamer","14/0/11","","","","DPST-1-9","Auto"
 , ,"Raam zithoek","14/0/12","","","","DPST-1-9","Auto"
 , ,"Raam eethoek","14/0/13","","","","DPST-1-9","Auto"
 , ,"Schuifraam rechts","14/0/14","","","","DPST-1-9","Auto"
 , ,"Schuifraam links","14/0/15","","","","DPST-1-9","Auto"
 ,"Deurcontacten", ,"14/1/-","","","","","Auto"
 , ,"Kelderdeur","14/1/0","","","","DPST-1-9","Auto"
 , ,"Berging","14/1/1","","","","DPST-1-9","Auto"
 , ,"Garagepoort","14/1/2","","","","DPST-1-9","Auto"
 ,"Melders", ,"14/2/-","","","","","Auto"
 , ,"Melder leefruimte","14/2/0","","","","DPST-1-18","Auto"
 , ,"Sabotage melder leefruimte","14/2/1","","","","DPST-1-18","Auto"
 , ,"Melder hal","14/2/2","","","","DPST-1-18","Auto"
 , ,"Sabotage melder hal","14/2/3","","","","DPST-1-18","Auto"
 , ,"Melder garage","14/2/4","","","","DPST-1-18","Auto"
 , ,"Sabotage melder garage","14/2/5","","","","DPST-1-18","Auto"
 , ,"Melder nachthal","14/2/6","","","","DPST-1-18","Auto"
 , ,"Sabotage melder nachthal","14/2/7","","","","DPST-1-18","Auto"
 ,"Indicatoren", ,"14/4/-","","","","","Auto"
 , ,"Garagepoort","14/4/0","","","","DPST-1-9","Auto"
"Centrale functies", , ,"15/-/-","","","","","Auto"
 ,"Sferen", ,"15/0/-","","","","","Auto"
 , ,"Paniek","15/0/0","","","","DPST-1-1","Auto"
 , ,"Alles uit","15/0/1","","","","DPST-1-1","Auto"
 , ,"Alles uit - vertraagd","15/0/2","","","","DPST-1-1","Auto"
 , ,"Gevel aan/uit","15/0/3","","","","DPST-1-1","Auto"
 , ,"Oprijden aan/uit","15/0/4","","","","DPST-1-1","Auto"
 , ,"Sfeer keuken 1 (koken)","15/0/5","","","","","Auto"
 , ,"Sfeer keuken 2 (eten)","15/0/6","","","","","Auto"
 , ,"Sfeer keuken 3 (verlaat keuken)","15/0/7","","","","","Auto"
 , ,"Sfeer keuken 4","15/0/8","","","","","Auto"
 , ,"Sfeer keuken 5","15/0/9","","","","","Auto"
 , ,"Sfeer keuken 6 (keuken uit)","15/0/10","","","","","Auto"
 , ,"Sfeer zithoek 1 (TV kijken)","15/0/11","","","","","Auto"
 , ,"Sfeer zithoek 2 (TV kijken/keuken gedimd)","15/0/12","","","","","Auto"
 , ,"Sfeer zithoek 3","15/0/13","","","","","Auto"
 , ,"Sfeer zithoek 4 (verlaat zithoek)","15/0/14","","","","","Auto"
 , ,"Sfeer zithoek 5","15/0/15","","","","","Auto"
 , ,"Sfeer zithoek 6 (binnen komen)","15/0/16","","","","","Auto"
 , ,"Keuken+zithoek uit","15/0/17","","","","","Auto"
 , ,"Sfeer badkamer 1 (bad)","15/0/18","","","","","Auto"
 , ,"Sfeer badkamer 2 (douche)","15/0/19","","","","","Auto"
 , ,"Sfeer badkamer 3 (nachttoilet)","15/0/20","","","","","Auto"
 , ,"Sfeer badkamer 4 (uit)","15/0/21","","","","","Auto"
 , ,"Sfeer 1 hoofdslaapkamer (leeslamp rechts)","15/0/22","","","","","Auto"
 , ,"Sfeer 2 hoofdslaapkamer","15/0/23","","","","","Auto"
 , ,"Sfeer 3 hoofdslaapkamer","15/0/24","","","","","Auto"
